DSS,SN,NED Preference,SIMBAD only,Differnt From DSS,subcatalog,zCMB,vCMB,SN Ra,SN Dec,mu,e_mu,sep,gal long (l),gal lat (b),DSSvhelio,sep,OSC SN name,redshift,OSC velocity,OSC vhelio,|v_DSS-v_OSC|,|OSC velocity-v_OSCvhelio|,|v_DSS-v_OSCvhelio|,sep,AOD Host,host ra deg,host ra wrap,host dec deg,hostoffsetdist,Host z,Host vhelio,SIMBAD Host,SIMBAD z,SIMBAD v,sep,AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc,RAwrap,Separation,|v_AGC-v_Host|,|v_AGC-v_DSS|,|v_Host-v_DSS|,sep,NED,SIMBAD,DR16,LEGACY
37,sn1998ef,SN 1998ef,,,A2.1: A1,0.015896667,4753.103433,15.87872813,32.20212329,33.13950546,0.193577933,,125.881,-30.566,5052.568281,,sn1998ef,0.01774,5418,5318.452,365.4,99.5,265.9,,UGC 646,15.85833333,15.85833333,+32.2372222222222,2.36,0.017611,5279.8,,,,,646,15.859582,32.236946,2,1,15,5319,0.7,0.6,5298,378,6,5.9,63,5298,15.859582,138.2602154,18.2,245.4,227.2,,,,,
38,sn1998ec,SN 1998ec,,,A2.1: A1,0.020106667,6011.893433,103.2613709,50.0314365,34.11668712,0.207310023,,166.295,20.711,5945.525553,,sn1998ec,0.0199,5948,5966.02,2.5,18.0,20.5,,UGC 3576,103.2791667,103.2791667,+50.0338888888889,6.48,0.0199,5966.0,,,,,3576,103.279167,50.03389,1.7,0.8,14.6,5966,4.81,2.2,5970,373,11,10.9,56,5970,103.279167,42.09001603,4.0,24.5,20.5,,,,,
39,sn1998dk,SN 1998dk,,,A2.1: A1,0.01203,3596.97,3.621351977,-0.781051113,32.85187883,0.259169722,,102.855,-62.161,3951.005633,,sn1998dk,0.01322,3950,3963.356,1.0,13.4,12.4,,UGC 139,3.632708333,3.632708333,-0.7376,1.03,0.013196,3956.2,,,,,139,3.6325,-0.737778,2.4,1.3,14.8,3948,11.32,4,3956,291,4,15.9,63,3956,3.6325,160.8688061,0.2,5.0,5.2,,,,,
40,sn1998dh,SN 1998dh,,,A2.1: A1,0.007693333,2300.306567,348.6284414,4.562584118,32.01029331,0.157405574,,82.828,-50.643,2670.944667,,sn1998dh,0.00897,2669,2689.206,1.9,20.2,18.3,,NGC 7541,348.6791667,-11.32083333,+4.53444444444444,4.90,0.00898,2692.2,,,,,12447,348.682495,4.533889,3.4,1.1,12.7,2607,35.36,1.8,2692,421,3,75.4,63,2692,-11.317505,219.7719215,0.2,21.1,21.3,,,,,
41,sn1998de,SN 1998de,,,A2.1: A1,0.015586667,4660.413433,11.99957619,27.66551706,33.50728233,0.143029411,,122.031,-35.241,4979.348896,,sn1998de,0.01647,5023,4937.706,43.7,85.3,41.6,,NGC 252,12.00833333,12.00833333,+27.6233333333333,20.62,0.016471,4938.0,,,,,491,12.00625,27.62389,1.7,1.3,13.4,4990,3.35,2,4938,553,26,13.4,75,4938,12.00625,151.3611922,0.0,41.3,41.3,,,,,
42,sn1998co,SN 1998co,,,A2.1: A1,0.016986667,5079.013433,326.8567961,-13.17605735,33.51937789,0.17504158,,41.519,-44.941,5403.209423,,sn1998co,0.01807,5458,5417.386,54.8,40.6,14.2,,NGC 7131,326.9,-33.1,-13.1825,1.47,0.018072,5418.0,,,,,610111,326.901642,-13.184167,1.7,1,14.5,5458,0,0,0,0,0,0,0,5458,-33.098358,159.8805939,40.0,54.8,14.8,,,,,
43,sn1998bp,SN 1998bp,,,A2.1: A1,0.01019,3046.81,268.6772593,18.30101958,32.22227802,0.144265486,,43.643,20.482,3125.893541,,sn1998bp,0.01043,3167,3126.914,41.1,40.1,1.0,,NGC 6495,268.7125,268.7125,+18.3272222222222,2.58,0.010435,3128.4,,,,,11034,268.711639,18.326389,1.6,1.2,13.8,3208,0,0,0,0,0,0,0,3208,268.711639,148.8185879,79.6,82.1,2.5,,,,,
44,sn1998aq,SN 1998aq,,,A2.1: A1,0.004496667,1344.503433,179.1601298,55.10809194,30.95837749,0.142253521,,138.837,60.269,1174.901821,,sn1998aq,0.003699,924,1108.9602,250.9,185.0,65.9,,NGC 3982,179.117,179.117,+55.1252,1.66,0.00371,1112.3,,,,,6918,179.11792,55.124722,2.4,2.2,11.6,1188,21.46,0,1110,236,15,0,2,1110,179.11792,105.5303914,2.3,64.9,62.6,,,,,
45,sn1998ab,SN 1998ab,,,A2.1: A1,0.028012713,8375.801187,192.183901,41.91778564,34.30673289,0.155760751,,124.862,75.194,8155.999,,sn1998ab,0.02725,8098,8169.55,58.0,71.6,13.6,,NGC 4704,192.193,192.193,+41.9213,5.29,0.027153,8140.5,,,,,7972,192.193756,41.920834,1,0.9,14.8,8134,1.1,0,8167,52,0,0,-1,8167,192.193756,28.58884501,26.5,11.0,15.5,,,,,
46,sn1997y,SN 1997y,,,A2.1: A1,0.016586667,4959.413433,191.3616716,54.70625615,33.59265321,0.160248639,,124.773,62.369,4801.086087,,sn1997y,0.01587,4806,4757.826,4.9,48.2,43.3,,NGC 4675,191.3833333,191.3833333,+54.7375,1.38,0.015952,4782.4,,,,,7935,191.38208,54.737221,1.6,0.5,15.4,4806,5.3,0,4798,396,0,0,-1,4798,191.38208,119.276386,15.6,3.1,18.7,,,,,
